country,code,x2006,x2009,x2012,x2015,gadm
Austria,AT,FALSE,TRUE,TRUE,TRUE,AUT
Belgium,BE,TRUE,TRUE,TRUE,TRUE,BEL
Bulgaria,BG,FALSE,FALSE,TRUE,TRUE,BGR
Croatia,HR,FALSE,FALSE,FALSE,TRUE,HRV
Cyprus,CY,FALSE,FALSE,TRUE,TRUE,CYP
Czech Republic,CZ,TRUE,TRUE,TRUE,TRUE,CZE
Denmark,DK,FALSE,TRUE,TRUE,TRUE,DNK
Estonia,EE,FALSE,TRUE,TRUE,TRUE,EST
Finland,FI,FALSE,TRUE,TRUE,TRUE,FIN
France,FR,TRUE,TRUE,TRUE,TRUE,FRA
Germany,DE,TRUE,TRUE,TRUE,TRUE,DEU
Greece,EL,FALSE,TRUE,TRUE,TRUE,GRC
Hungary,HU,TRUE,TRUE,TRUE,TRUE,HUN
Ireland,IE,FALSE,TRUE,TRUE,TRUE,IRL
Italy,IT,TRUE,TRUE,TRUE,TRUE,ITA
Latvia,LV,FALSE,TRUE,TRUE,TRUE,LVA
Lithuania,LT,FALSE,TRUE,TRUE,TRUE,LTU
Luxembourg,LU,TRUE,TRUE,TRUE,TRUE,LUX
Malta,MT,FALSE,FALSE,TRUE,TRUE,MLT
Netherlands,NL,TRUE,TRUE,TRUE,TRUE,NLD
Poland,PL,TRUE,TRUE,TRUE,TRUE,POL
Portugal,PT,FALSE,TRUE,TRUE,TRUE,PRT
Romania,RO,FALSE,FALSE,TRUE,TRUE,ROU
Slovakia,SK,TRUE,TRUE,TRUE,TRUE,SVK
Slovenia,SI,FALSE,TRUE,TRUE,TRUE,SVN
Spain,ES,TRUE,TRUE,TRUE,TRUE,ESP
Sweden,SE,FALSE,TRUE,TRUE,TRUE,SWE
United Kingdom,UK,FALSE,TRUE,TRUE,TRUE,GBR
